Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
-114.01,51.12,CALGARY INTL A,3031092,2016-12-01,2016,12,1,0.4,-5,-2.3,0,2.2,1.6,2,34,39
-114.01,51.12,CALGARY INTL A,3031092,2016-12-02,2016,12,2,4.6,-10,-2.7,0,0,0,3,27,52
-114.01,51.12,CALGARY INTL A,3031092,2016-12-03,2016,12,3,5.2,-4.9,0.2,0,0,0,,27,46
-114.01,51.12,CALGARY INTL A,3031092,2016-12-04,2016,12,4,-2.7,-11.1,-6.9,0,6,4,0,35,48
-114.01,51.12,CALGARY INTL A,3031092,2016-12-05,2016,12,5,-10.7,-19.2,-15,0,0,0,3,34,46
-114.01,51.12,CALGARY INTL A,3031092,2016-12-06,2016,12,6,-18.2,-21.4,-19.8,0,0,0,3,35,48
-114.01,51.12,CALGARY INTL A,3031092,2016-12-07,2016,12,7,-18.6,-25,-21.8,0,0,0,3,34,33
-114.01,51.12,CALGARY INTL A,3031092,2016-12-08,2016,12,8,-19.8,-26.7,-23.3,0,0,0,3,,<31
-114.01,51.12,CALGARY INTL A,3031092,2016-12-09,2016,12,9,-20.2,-24.4,-22.3,0,0.4,0.4,3,16,30
-114.01,51.12,CALGARY INTL A,3031092,2016-12-10,2016,12,10,-18.3,-23.6,-21,0,,0,3,,
-114.01,51.12,CALGARY INTL A,3031092,2016-12-11,2016,12,11,-15.6,-23.7,-19.7,0,0.2,0.2,3,35,33
-114.01,51.12,CALGARY INTL A,3031092,2016-12-12,2016,12,12,-9.6,-19.1,-14.4,0,0,0,3,31,37
-114.01,51.12,CALGARY INTL A,3031092,2016-12-13,2016,12,13,-8.7,-21.4,-15.1,0,0,0,3,32,46
-114.01,51.12,CALGARY INTL A,3031092,2016-12-14,2016,12,14,-9.1,-20.4,-14.8,0,0,0,3,,<31
-114.01,51.12,CALGARY INTL A,3031092,2016-12-15,2016,12,15,-15.7,-20.5,-18.1,0,0.5,0.4,3,,<31
-114.01,51.12,CALGARY INTL A,3031092,2016-12-16,2016,12,16,-17.1,-25.7,-21.4,0,0,0,3,,<31
-114.01,51.12,CALGARY INTL A,3031092,2016-12-17,2016,12,17,-6.9,-23.1,-15,0,0,0,3,28,50
-114.01,51.12,CALGARY INTL A,3031092,2016-12-18,2016,12,18,1.1,-8.2,-3.6,0,0,0,2,29,74
-114.01,51.12,CALGARY INTL A,3031092,2016-12-19,2016,12,19,2,-2.4,-0.2,0,0,0,2,28,87
-114.01,51.12,CALGARY INTL A,3031092,2016-12-20,2016,12,20,3.7,-3.8,-0.1,0,0,0,2,28,63
-114.01,51.12,CALGARY INTL A,3031092,2016-12-21,2016,12,21,5,-7.3,-1.2,0,0,0,1,29,56
-114.01,51.12,CALGARY INTL A,3031092,2016-12-22,2016,12,22,7.3,-3.6,1.9,0,0,0,0,26,59
-114.01,51.12,CALGARY INTL A,3031092,2016-12-23,2016,12,23,-2.3,-11.1,-6.7,0,8.2,7.8,0,11,33
-114.01,51.12,CALGARY INTL A,3031092,2016-12-24,2016,12,24,-7.3,-15.7,-11.5,0,5.6,5.6,10,,<31
-114.01,51.12,CALGARY INTL A,3031092,2016-12-25,2016,12,25,-14.6,-22.4,-18.5,0,0.2,0.2,16,33,30
-114.01,51.12,CALGARY INTL A,3031092,2016-12-26,2016,12,26,-1.8,-22.8,-12.3,0,0,0,16,27,37
-114.01,51.12,CALGARY INTL A,3031092,2016-12-27,2016,12,27,1.1,-6.5,-2.7,0,0,0,15,27,69
-114.01,51.12,CALGARY INTL A,3031092,2016-12-28,2016,12,28,0.9,-5.6,-2.4,0,0,0,15,29,69
-114.01,51.12,CALGARY INTL A,3031092,2016-12-29,2016,12,29,-1,-11.3,-6.2,0,0,0,10,27,44
-114.01,51.12,CALGARY INTL A,3031092,2016-12-30,2016,12,30,-1.1,-10,-5.6,0,0,0,10,29,41
-114.01,51.12,CALGARY INTL A,3031092,2016-12-31,2016,12,31,-3.5,-12.5,-8,0.2,2.8,2.2,10,,<31
-114.01,51.12,CALGARY INTL A,3031092,2017-01-01,2017,1,1,-7.8,-17.4,-12.6,0,3.6,2,12,1,46
-114.01,51.12,CALGARY INTL A,3031092,2017-01-02,2017,1,2,-16.1,-26.1,-21.1,0,0,0,14,,<31
-114.01,51.12,CALGARY INTL A,3031092,2017-01-03,2017,1,3,-15.5,-22.4,-19,0.1,0.4,0.3,14,,<31
-114.01,51.12,CALGARY INTL A,3031092,2017-01-04,2017,1,4,-7.2,-17.2,-12.2,0,0,0,13,35,43
-114.01,51.12,CALGARY INTL A,3031092,2017-01-05,2017,1,5,-3.5,-15.8,-9.7,0,2.2,1.2,13,,<31
-114.01,51.12,CALGARY INTL A,3031092,2017-01-06,2017,1,6,-9.9,-17,-13.5,0,3,1.6,15,,<31
-114.01,51.12,CALGARY INTL A,3031092,2017-01-07,2017,1,7,-14.9,-19.2,-17.1,0,0.4,0.4,16,36,43
-114.01,51.12,CALGARY INTL A,3031092,2017-01-08,2017,1,8,-17.4,-19.8,-18.6,0,0,0,16,19,37
-114.01,51.12,CALGARY INTL A,3031092,2017-01-09,2017,1,9,-19.5,-23.1,-21.3,0,4.3,4.2,20,35,37
-114.01,51.12,CALGARY INTL A,3031092,2017-01-10,2017,1,10,-16.2,-22.1,-19.2,0,0.4,0.4,20,35,44
-114.01,51.12,CALGARY INTL A,3031092,2017-01-11,2017,1,11,-6,-23.1,-14.6,0,0,0,20,34,41
-114.01,51.12,CALGARY INTL A,3031092,2017-01-12,2017,1,12,-2.9,-20.1,-11.5,0,0,0,19,28,50
